(dollar sign)	[(dollar sign), $]
interventions	[interventions, interventions]
intervenes	[intervenes, intervient]
interviews	[interviews, interviews]
intimate	[intimate, intime]
titled	[titled, intitulé, intitulée, intitulée, titré, titré]
entitled	[entitled, intitulé, intitulée, intitulée]
introduction	[introduction, introduction]
introduced	[introduced, introduit, introduite, introduite]
integrate	[integrate, intègre, intégrer, intégrer, marquer, marquer]
integrates	[integrates, intègre]
integrated	[integrated, intègre, intégré, intégré, intégrée, intégrée, intégrés, intégrés]
integral	[integral, intégrale, intégrante, intégrante]
fully	[fully, intégralement, pleinement, pleinement]
an integral	[an integral, intégrante]
part of	[part of, intégrante]
integration	[integration, intégration, lintégration, lintégration, synthèse, synthèse]
coupled	[coupled, intégrée]
interesting	[interesting, intéressant]
interested	[interested, intéressé]
interior	[interior, intérieur, intérieurs, intérieurs, lintérieur, lintérieur]
interiors	[interiors, intérieurs]
inside	[inside, intérieurs]
invasions	[invasions, invasions]
invention	[invention, invention, linvention, linvention]
inventions	[inventions, inventions]
invented	[invented, inventé]
reverse	[reverse, inverse]
inversely	[inversely, inversement]
invested	[invested, investi]
investments	[investments, investissements]
invite	[invite, invite]
invites	[invites, invite]
invited	[invited, invité, invités, invités]
new	[new, inédit, nouveau, nouveau, nouveaux, nouveaux, nouvel, nouvel, nouvelle, nouvelle, nouvelles, nouvelles]
unique	[unique, inédit, lunique, lunique, unique, unique]
unexpected	[unexpected, inédit]
uncommon	[uncommon, inédite, rare, rare]
surprising	[surprising, inédite]
unpublished	[unpublished, inédits]
unreleased	[unreleased, inédits]
inequality	[inequality, inégalités]
inequalities	[inequalities, inégalités]
internet protocol	[internet protocol, ip]
ip	[ip, ip]
tu ip	[tu ip, ip]
api	[api, ipv]
ipv	[ipv, ipv]
will go	[will go, ira]
iraq	[iraq, irak]
iran	[iran, iran, liran, liran]
iranian	[iranian, iranien, iranienne, iranienne]
irish	[irish, irlandais, irlandaise, irlandaise]
mri	[mri, irm, lirm, lirm]
isaac	[isaac, isaac]
isabelle	[isabelle, isabelle]
international serial book number	[international serial book number, isbn]
isbn	[isbn, isbn]
islam	[islam, islam, lislam, lislam]
islamic	[islamic, islamique, islamiques, islamiques]
islamics	[islamics, islamiques]
icelandic	[icelandic, islandais]
iso	[iso, iso]
isolated	[isolated, isolé, isolés, isolés]
israeli	[israeli, israélienne, israéliens, israéliens]
israelian	[israelian, israélienne]
descended/born	[descended/born, issu]
outcome	[outcome, issue]
come from	[come from, issues]
exit	[exit, issues, sorties, sorties]
issus	[issus, issus]
italy	[italy, italie, litalie, litalie]
italians	[italians, italiens]
icts	[icts, its]
four (roman number)	[four (roman number), iv]
4th	[4th, iv]
iv	[iv, iv]
ivan	[ivan, ivan]
9th	[9th, ix]
j	[j, j]
ja	[ja, ja]
"origin of the sun"	["origin of the sun", ja]
jack	[jack, jack]
jackie	[jackie, jackie]
jackson	[jackson, jackson]
jacob	[jacob, jacob]
jacqueline	[jacqueline, jacqueline]
jacques	[jacques, jacques]
once	[once, jadis]
i have	[i have, jai]
never	[never, jamais, never, never]
leg	[leg, jambe]
legs	[legs, jambes]
james	[james, james]
jan	[jan, jan]
jane	[jane, jane, jeanne, jeanne]
janeiro	[janeiro, janeiro]
january	[january, janvier]
japan	[japan, japon]
japanese	[japanese, japonais, japonaise, japonaise, japonaises, japonaises]
japonaise	[japonaise, japonaise]
garden	[garden, jardin]
gardens	[gardens, jardins]
jason	[jason, jason]
probe	[probe, jauge, sonde, sonde]
gauje	[gauje, jauge]
gauge	[gauge, jauge]
capactiy	[capactiy, jauge]
measure	[measure, jauge, mesure, mesure, mesurer, mesurer, mesures, mesures]
jauge	[jauge, jauge]
yellow	[yellow, jaune]
java	[java, java]
jay	[jay, jay]
jay-z	[jay-z, jayz]
jazz	[jazz, jazz]
(initials of wrestler's name)	[(initials of wrestler's name), jbl]
jbl	[jbl, jbl]
jean	[jean, jean]
jean-baptiste	[jean-baptiste, jeanbaptiste]
jean-claude	[jean-claude, jeanclaude]
jean-claude (name)	[jean-claude (name), jeanclaude]
jean francois	[jean francois, jeanfrançois]
city and refugee	[city and refugee, jeanjacques]
jean louis	[jean louis, jeanlouis]
jean-luc	[jean-luc, jeanluc]
jean-marc	[jean-marc, jeanmarc]
jean marc	[jean marc, jeanmarc]
jean-marie	[jean-marie, jeanmarie]
jean-michel	[jean-michel, jeanmichel]
jeanne	[jeanne, jeanne]
jean-paul	[jean-paul, jeanpaul]
jeanpaul	[jeanpaul, jeanpaul]
jean-pierre	[jean-pierre, jeanpierre]
jeff	[jeff, jeff]
jennifer	[jennifer, jennifer]
jericho	[jericho, jericho]
jerry	[jerry, jerry]
a british island	[a british island, jersey]
jersey	[jersey, jersey]
jessica	[jessica, jessica]
throw	[throw, jet]
jet	[jet, jet]
throws	[throws, jette]
expose - sends - goes into	[expose - sends - goes into, jette]
thursday	[thursday, jeudi]
young	[young, jeune, jeunes, jeunes, tôt, tôt, young, young]
youth	[youth, jeunesse]
youthfulness	[youthfulness, jeunesse]
games	[games, jeux, matchs, matchs]
jim	[jim, jim]
jimi	[jimi, jimi]
jimmy	[jimmy, jimmy]
joan	[joan, joan]
joconde	[joconde, joconde]
mona lisa	[mona lisa, joconde]
joe,male first name	[joe,male first name, joe]
joe	[joe, joe, rtl, rtl]
joey	[joey, joey]
johann	[johann, johann]
john	[john, john]
johnny (man's name)	[johnny (man's name), johnny]
johnny	[johnny, johnny]
johnson	[johnson, johnson]
joy	[joy, joie]
joined	[joined, joint, rejoint, rejoint]
joins	[joins, joint, rejoint, rejoint, sinscrit, sinscrit]
pretty	[pretty, jolie]
jon	[jon, jon]
jonas	[jonas, jonas]
jonathan (man's name)	[jonathan (man's name), jonathan]
jonathan	[jonathan, jonathan]
jones	[jones, jones]
jones,family name	[jones,family name, jones]
jordan	[jordan, jordan]
joseph	[joseph, joseph]
josé	[josé, josé]
played	[played, jouait, joué, joué, jouée, jouée, jouées, jouées, joués, joués]
playing	[playing, jouant]
plays	[plays, joue]
to play	[to play, jouer]
joets	[joets, jouets]
toys	[toys, jouets]
player	[player, joueur]
players	[players, joueurs]
enjoys	[enjoys, jouit]
day	[day, jour, journée, journée]
that day	[that day, jourlà]
newspaper	[newspaper, journal]
journaliste	[journaliste, journaliste]
journalists	[journalists, journalistes]
newspapers	[newspapers, journaux, quotidiens, quotidiens]
journals	[journals, journaux, revues, revues]
daytime	[daytime, journée]
cheeks	[cheeks, joués]
joel	[joel, joël]
jr (junior)	[jr (junior), jr]
juan	[juan, juan]
judaism	[judaism, judaïsme]
judiciary	[judiciary, judiciaire]
legal	[legal, judiciaire, judiciaires, judiciaires, juridique, juridique, juridiques, juridiques, légal, légal, légale, légale, légales, légales]
judicial	[judicial, judiciaires]
judge	[judge, juge, juger, juger, jugé, jugé, larbitre, larbitre]
judgement	[judgement, jugement]
judgment	[judgment, jugement]
judges	[judges, juges, jugés, jugés]
judged	[judged, jugé, jugée, jugée, jugées, jugées, jugés, jugés]
seen as	[seen as, jugées]
jewish	[jewish, juif, juifs, juifs, juive, juive, juives, juives]
jew	[jew, juif, juive, juive]
jews	[jews, juifs]
july	[july, juillet]
june	[june, juin]
jules	[jules, jules]
boyfriend	[boyfriend, jules]
julia	[julia, julia]
julian	[julian, julian]
julie	[julie, julie]
julien	[julien, julien]
juliette	[juliette, juliette]
twins	[twins, jumeaux, jumelles, jumelles]
jungle	[jungle, jungle]
jupiter	[jupiter, jupiter]
jura	[jura, jura]
juridiction	[juridiction, juridiction]
jurisdiction	[jurisdiction, juridiction, ressort, ressort]
juridical	[juridical, juridique, juridiques, juridiques]
jurisprudence	[jurisprudence, jurisprudence]
jury	[jury, jury]
panel	[panel, jury]
up to that time/until then	[up to that time/until then, jusqualors]
until then	[until then, jusqualors, jusquelà, jusquelà]
up to	[up to, jusquau, jusquà, jusquà]
until	[until, jusquau, jusquaux, jusquaux, jusque, jusque, jusquen, jusquen, jusquà, jusquà, till, till]
until the	[until the, jusquaux]
as far as(for moliere) until (for the virus)	[as far as(for moliere) until (for the virus), jusque]
before then	[before then, jusquelà]
until now	[until now, jusquici]
so	[so, jusquici, so, so, tellement, tellement]
just	[just, just, juste, juste, seuls, seuls]
justice	[justice, justice]
justifies	[justifies, justifie]
justify	[justify, justifie, justifier, justifier]
justin	[justin, justin]
jehovah	[jehovah, jéhovah]
jerusalem	[jerusalem, jérusalem]
jerome	[jerome, jérôme]
jesuites	[jesuites, jésuites]
jesuit	[jesuit, jésuites]
jesus	[jesus, jésus, jésuschrist, jésuschrist]
jesus-christ	[jesus-christ, jésuschrist]
kaamelot	[kaamelot, kaamelott]
kaamelott	[kaamelott, kaamelott]
kabylia	[kabylia, kabylie]
kabylie	[kabylie, kabylie]
kane	[kane, kane]
kansas	[kansas, kansas]
karl	[karl, karl]
kate	[kate, kate]
kate (woman's name)	[kate (woman's name), kate]
katherine	[katherine, katherine]
keith	[keith, keith]
kelly	[kelly, kelly]
ken	[ken, ken]
kennedy	[kennedy, kennedy]
kevin	[kevin, kevin]
khali	[khali, khali]
khan	[khan, khan]
cheops	[cheops, khéops]
khufu	[khufu, khéops]
kids	[kids, kids]
kill	[kill, kill, tue, tue, tuer, tuer]
km	[km, kilomètres]
kilometers	[kilometers, kilomètres]
kim	[kim, kim]
king	[king, king, roi, roi]
kings	[kings, kings, rois, rois]
king's	[king's, kings]
kingston	[kingston, kingston]
kinetochore	[kinetochore, kinétochore]
kinetochre	[kinetochre, kinétochore]
scientific terminology	[scientific terminology, kinétochore]
kine'tochore	[kine'tochore, kinétochore]
(uncommon scientific word)	[(uncommon scientific word), kinétochore]
kirk	[kirk, kirk]
klan	[klan, klan]
(part of the name of a racist organization)	[(part of the name of a racist organization), klan]
klein	[klein, klein]
klux	[klux, klux]
(part of the name of an american racist organization)	[(part of the name of an american racist organization), klux]
kb	[kb, ko]
ko	[ko, ko]
kong	[kong, kong]
kosovo	[kosovo, kosovo]
ku	[ku, ku]
kubrick	[kubrick, kubrick]
kurt	[kurt, kurt]
kyle	[kyle, kyle]
abbey	[abbey, labbaye]
labbé	[labbé, labbé]
skua	[skua, labbé]
label	[label, label]
abolition	[abolition, labolition]
the abolition	[the abolition, labolition]
laboratory	[laboratory, laboratoire, laboratoires, laboratoires]
laboratories	[laboratories, laboratoires]
protected	[protected, labri, protégé, protégé, protégée, protégée, protégées, protégées, protégés, protégés]
absence	[absence, labsence]
the absence	[the absence, labsence]
lake	[lake, lac]
vocational academy	[vocational academy, lacadémie]
dhistoire	[dhistoire, lacadémie]
laccent	[laccent, laccent]
the accent	[the accent, laccent]
the accident	[the accident, laccident]
the increase in	[the increase in, laccroissement]
the welcome	[the welcome, laccueil]
the accumulation	[the accumulation, laccumulation]
accumulation	[accumulation, laccumulation]
the purchase	[the purchase, lachat]
the steel	[the steel, lacier]
l'acier = steel	[l'acier = steel, lacier]
the acquisition	[the acquisition, lacquisition]
lakes	[lakes, lacs]
the act	[the act, lacte]
acting	[acting, lacteur]
l'acteur -> the actor	[l'acteur -> the actor, lacteur]
the action	[the action, laction]
the activity	[the activity, lactivité]
lactuel	[lactuel, lactuel]
the current	[the current, lactuelle]
the adaption	[the adaption, ladaptation]
the adaptation	[the adaptation, ladaptation]
ladder	[ladder, ladder]
ladministration	[ladministration, ladministration]
ladn	[ladn, ladn]
the adn	[the adn, ladn]
adoption	[adoption, ladoption]
the address	[the address, ladresse]
the adult	[the adult, ladulte]
ladulte	[ladulte, ladulte]
the adversary	[the adversary, ladversaire]
the opponent	[the opponent, ladversaire]
scandal	[scandal, laffaire, polémique, polémique, scandale, scandale]
the poster	[the poster, laffiche]
averment	[averment, laffirmation]
the statement	[the statement, laffirmation]
laffont	[laffont, laffont]
lafghanistan	[lafghanistan, lafghanistan]
the agency	[the agency, lagence]
lagent	[lagent, lagent]
the agglomeration	[the agglomeration, lagglomération]
the agriculture	[the agriculture, lagriculture]
the help	[the help, laide]
thanks to	[thanks to, laide]
laider	[laider, laider]
help him	[help him, laider]
the wing	[the wing, laile]
wing	[wing, laile]
wool	[wool, laine]
the air	[the air, lair]
the area	[the area, laire]
leaving	[leaving, laissant, sortant, sortant]
leave	[leave, laissent, laisser, laisser, partent, partent, partir, partir, quittent, quittent, quitter, quitter]
let	[let, laisser, let, let]
milk	[milk, lait]
addition	[addition, lajout, surcroît, surcroît]
the addition	[the addition, lajout]
contextualise	[contextualise, lajout]
alchemy	[alchemy, lalchimie]
the alchemy	[the alchemy, lalchimie]
alcohol	[alcohol, lalcool]
lalcool	[lalcool, lalcool]
lalgérie	[lalgérie, lalgérie]
the power supply	[the power supply, lalimentation]
the german	[the german, lallemand]
the alliance	[the alliance, lalliance]
the coallition	[the coallition, lalliance]
the alphabet	[the alphabet, lalphabet]
latitude	[latitude, laltitude, latitude, latitude]
the altitude	[the altitude, laltitude]
the aluminium	[the aluminium, laluminium]
lambert	[lambert, lambert]
lambiance	[lambiance, lambiance]
the friendship	[the friendship, lamitié]
the amoor	[the amoor, lamour]
the magnitude	[the magnitude, lampleur]
extent	[extent, lampleur, mesure, mesure, point, point]
the improvement	[the improvement, lamélioration]
the planning	[the planning, laménagement]
layout	[layout, laménagement]
developing	[developing, laménagement]
laméricain	[laméricain, laméricain]
the american	[the american, laméricain]
the year	[the year, lan, lannée, lannée]
lan	[lan, lan]
lanalyse	[lanalyse, lanalyse]
anatomy	[anatomy, lanatomie]
the anc	[the anc, lanc]
anc	[anc, lanc]
lance	[lance, lance]
launches	[launches, lance]
travel expenses	[travel expenses, lancement]
launch	[launch, lancement, lancent, lancent, lancer, lancer]
launched	[launched, lancent, lancé, lancé, lancée, lancée]
issued	[issued, lancé, émet, émet, émis, émis]
momentum	[momentum, lancée]
land	[land, land, poser, poser, terrains, terrains, terres, terres, terrestres, terrestres]
lang	[lang, lang]
language	[language, langage, langue, langue]
the angel	[the angel, lange]
langlais	[langlais, langlais]
langle	[langle, langle]
the angle	[the angle, langle]
languages	[languages, langues]
anima	[anima, lanimal]
the animal	[the animal, lanimal]
lanka	[lanka, lanka]
the ring	[the ring, lanneau]
annexation	[annexation, lannexion]
the announcement	[the announcement, lannonce]
ad	[ad, lannonce]
lannee	[lannee, lannée]
the antenna	[the antenna, lantenne]
the anthropologie	[the anthropologie, lanthropologie]
antisemitism	[antisemitism, lantisémitisme]
anti-semitism	[anti-semitism, lantisémitisme]
apartheid	[apartheid, lapartheid]
the apartheid	[the apartheid, lapartheid]
rabbit	[rabbit, lapin]
apocalypse	[apocalypse, lapocalypse]
the apocalypse	[the apocalypse, lapocalypse]
the peak	[the peak, lapogée]
the appearance	[the appearance, lapparence]
emergence	[emergence, lapparition, lémergence, lémergence]
the apparition	[the apparition, lapparition]
the call	[the call, lappel]
lappellation	[lappellation, lappellation]
designation	[designation, lappellation]
the application	[the application, lapplication]
the contribution	[the contribution, lapport]
intake	[intake, lapport]
the learning	[the learning, lapprentissage]
the coming	[the coming, lapproche]
the approach	[the approach, lapproche]
the support	[the support, lappui]
the post-war	[the post-war, laprèsguerre]
after the war	[after the war, laprèsguerre]
post-war	[post-war, laprèsguerre]
larabe	[larabe, larabe]
the arab	[the arab, larabe]
larabie	[larabie, larabie]
the referee	[the referee, larbitre]
larc	[larc, larc]
the arc	[the arc, larc]
archipelago	[archipelago, larchipel]
the archipelo	[the archipelo, larchipel]
the architects	[the architects, larchitecte]
l'architecture = architecture	[l'architecture = architecture, larchitecture]
vastly	[vastly, largement]
broadly / widely	[broadly / widely, largement]
largely	[largely, largement]
the money	[the money, largent]
broad	[broad, larges]
width	[width, largeur, width, width]
the aristocraty	[the aristocraty, laristocratie]
tear	[tear, larme]
the weapon	[the weapon, larme]
the armament	[the armament, larmement]
larmement	[larmement, larmement]
arming	[arming, larmement]
the army	[the army, larmée]
armenia	[armenia, larménie]
larrestation	[larrestation, larrestation]
the arrest	[the arrest, larrestation]
the arrival	[the arrival, larrivée]
the rear	[the rear, larrière]
larry	[larry, larry]
stopping	[stopping, larrêt]
the end	[the end, larrêt, lissue, lissue]
lars	[lars, lars]
the art	[the art, lart]
lart	[lart, lart]
the article	[the article, larticle]
crafts	[crafts, lartisanat]
craft	[craft, lartisanat]
trades	[trades, lartisanat, métiers, métiers]
the artist	[the artist, lartiste]
las	[las, las]
ascent	[ascent, lascension]
laser	[laser, laser]
the murder	[the murder, lassassinat]
the assembly	[the assembly, lassemblée]
the workshop	[the workshop, latelier]
have repaired	[have repaired, latelier]
latin	[latin, latin, latine, latine, latins, latins]
the antlantique	[the antlantique, latlantique]
the atmosphere	[the atmosphere, latmosphère]
the atom	[the atom, latome]
the attack	[the attack, lattaque, lattentat, lattentat]
the attention	[the attention, lattention]
the attitude	[the attitude, lattitude]
lattitude	[lattitude, lattitude]
dawn	[dawn, laube]
the audience	[the audience, laudience]
the upturn	[the upturn, laugmentation]
the growth	[the growth, laugmentation]
might	[might, laurait, put, put]
laurence	[laurence, laurence]
laurence (man's name)	[laurence (man's name), laurence]
laurent	[laurent, laurent]
laurie	[laurie, laurie]
about the author	[about the author, lauteur]
the author	[the author, lauteur]
lautisme	[lautisme, lautisme]
automotive	[automotive, lautomobile]
the autonomy	[the autonomy, lautonomie]
the prior	[the prior, lautorisation]
the authorization	[the authorization, lautorisation]
the authority	[the authority, lautorité]
the highway	[the highway, lautoroute]
highway	[highway, lautoroute]
the other	[the other, lautre]
lautriche	[lautriche, lautriche]
translating	[translating, lavait]
the advance	[the advance, lavance]
the progress	[the progress, lavance]
the break-through	[the break-through, lavancée]
lavant	[lavant, lavant]
washing	[washing, lavant]
lavantage	[lavantage, lavantage]
lava	[lava, lave]
the future	[the future, lavenir]
the adventure	[the adventure, laventure]
laventure	[laventure, laventure]
the avenue	[the avenue, lavenue]
aviation	[aviation, laviation]
the aviation	[the aviation, laviation]
the air force	[the air force, laviation]
the plane	[the plane, lavion]
advocate	[advocate, lavocat]
the lawyer	[the lawyer, lavocat]
wash	[wash, lavoir]
the advent	[the advent, lavènement]
advent	[advent, lavènement]
lawrence	[lawrence, lawrence]
the axis	[the axis, laxe]
main line	[main line, laxe]
the airport	[the airport, laéroport]
secular	[secular, laïque]
chef	[chef, leaders]
league	[league, league, ligue, ligue]
reader	[reader, lecteur]
readers	[readers, lecteurs]
readings	[readings, lecteurs, lectures, lectures]
reading	[reading, lecture]
lee	[lee, lee]
leffet	[leffet, leffet]
the effect	[the effect, leffet]
lefficacité	[lefficacité, lefficacité]
effigy	[effigy, leffigie]
representing	[representing, leffigie]
the effigy	[the effigy, leffigie]
the collapse	[the collapse, leffondrement]
collapse	[collapse, leffondrement]
the effort	[the effort, leffort]
attempt	[attempt, leffort, tentent, tentent, tenter, tenter]
leipzig	[leipzig, leipzig]
estuary	[estuary, lembouchure]
lempereur	[lempereur, lempereur]
the empire	[the empire, lempire]
the location	[the location, lemplacement]
the use	[the use, lemploi, lutilisation, lutilisation]
outweigh	[outweigh, lemporte]
predominates	[predominates, lemporte]
len	[len, len]
the encyclopedia	[the encyclopedia, lencyclopédie]
next day	[next day, lendemain]
following day	[following day, lendemain]
probed	[probed, lendroit, sorciers, sorciers]
the place	[the place, lendroit]
the childhood	[the childhood, lenfance]
lenfance	[lenfance, lenfance]
the child	[the child, lenfant]
the hell	[the hell, lenfer]
involvement	[involvement, lengagement]
the ennemy	[the ennemy, lennemi]
the ennemi	[the ennemi, lennemi]
lennon	[lennon, lennon]
the investigation	[the investigation, lenquête]
lenregistrement	[lenregistrement, lenregistrement]
the teaching	[the teaching, lenseignement]
lensemble	[lensemble, lensemble]
slow	[slow, lent, lente, lente]
slowly	[slowly, lentement, progressivement, progressivement]
the coach	[the coach, lentraîneur]
companys	[companys, lentreprise]
the interview	[the interview, lentretien]
the entry	[the entry, lentrée]
the environment	[the environment, lenvironnement]
sending	[sending, lenvoi]
the sending	[the sending, lenvoi]
leo	[leo, leo]
leonard	[leonard, leonard, léonard, léonard]
leonardo	[leonardo, leonardo, léonard, léonard]
the slavery	[the slavery, lesclavage]
slavery	[slavery, lesclavage]
the space	[the space, lespace]
lespagne	[lespagne, lespagne]
spanish language	[spanish language, lespagnol]
the hope	[the hope, lespoir]
the spirit	[the spirit, lesprit]
the specie	[the specie, lespèce]
lesperance	[lesperance, lespérance]
expectancies	[expectancies, lespérance]
essence	[essence, lessence]
the main part	[the main part, lessentiel]
lessor	[lessor, lessor]
the east	[the east, lest, lorient, lorient]
ballast	[ballast, lest]
the aesthetic	[the aesthetic, lesthétique]
lettre	[lettre, lettre]
letters	[letters, lettres]
leukemia	[leukemia, leucémie]
their	[their, leur, leurs, leurs]
to them	[to them, leur]
the euro	[the euro, leuro]
lift	[lift, lever]
lifted	[lifted, levée]
lewis	[lewis, lewis]
the exam	[the exam, lexamen]
lexamen	[lexamen, lexamen]
the exception	[the exception, lexception]
the exemple	[the exemple, lexemple]
the exercise	[the exercise, lexercice]
the exile	[the exile, lexil]
the existence	[the existence, lexistence]
the expansion	[the expansion, lexpansion]
the explanation	[the explanation, lexplication]
lexploitation	[lexploitation, lexploitation]
the exploitation	[the exploitation, lexploitation]
the explosion	[the explosion, lexplosion]
fair	[fair, lexposition, salon, salon, équitable, équitable]
show	[show, lexposition, montrent, montrent, montrer, montrer, présentent, présentent, salon, salon, salons, salons, shows, shows, spectacle, spectacle, série, série, tableau, tableau]
the expression	[the expression, lexpression]
the expedition	[the expedition, lexpédition]
the extension	[the extension, lextension]
the extermination	[the extermination, lextermination]
extremity	[extremity, lextrémité]
what	[what, lextrémité, quel, quel, quels, quels, quoi, quoi, what, what]
lextremite	[lextremite, lextrémité]
the exterior	[the exterior, lextérieur]
outisde	[outisde, lextérieur]
the executive	[the executive, lexécutif]
performance	[performance, lexécution, performance, performance, performances, performances, prestation, prestation, rendement, rendement, représentation, représentation]
performs closeout	[performs closeout, lexécution]
lessons	[lessons, leçons]
lhabitat	[lhabitat, lhabitat]
the habit	[the habit, lhabitude]
l'harmattan	[l'harmattan, lharmattan]
the harmattan	[the harmattan, lharmattan]
hinduism	[hinduism, lhindouisme]
lhindouisme	[lhindouisme, lhindouisme]
the history	[the history, lhistoire]
ihistorien	[ihistorien, lhistorien]
the historian	[the historian, lhistorien]
the winter	[the winter, lhiver]
lhiver	[lhiver, lhiver]
lhomme	[lhomme, lhomme]
mankind	[mankind, lhomme, lhumanité, lhumanité]
homosexuality	[homosexuality, lhomosexualité]
the homosexuality	[the homosexuality, lhomosexualité]
ohim	[ohim, lhonneur]
in honour	[in honour, lhonneur]
lhorizon	[lhorizon, lhorizon]
horizon	[horizon, lhorizon]
the horizon	[the horizon, lhorizon]
lhuile	[lhuile, lhuile]
upstream	[upstream, lhuile]
humanity	[humanity, lhumanité]
mood	[mood, lhumeur]
the humor	[the humor, lhumour]
hydrogen	[hydrogen, lhydrogène]
the anthem	[the anthem, lhymne]
underlying hypothesis	[underlying hypothesis, lhypothèse]
the hypothesis	[the hypothesis, lhypothèse]
hemisphere	[hemisphere, lhémisphère]
the hemisphere	[the hemisphere, lhémisphère]
lheritage	[lheritage, lhéritage]
heroin	[heroin, lhéroïne]
heroine	[heroine, lhéroïne]
the hospital	[the hospital, lhôpital]
the hotel	[the hotel, lhôtel]
the hostel	[the hostel, lhôtel]
linked	[linked, liaison, lié, lié, liée, liée, liées, liées, liés, liés, reliée, reliée, reliées, reliées, reliés, reliés]
en liaison avec = together with	[en liaison avec = together with, liaison]
connections	[connections, liaisons]
affairs	[affairs, liaisons]
lebanon	[lebanon, liban]
liberty	[liberty, liberty]
freedoms	[freedoms, libertés]
book shop	[book shop, librairie]
bookshop	[bookshop, librairie]
free trade	[free trade, libreéchange]
free exchange	[free exchange, libreéchange]
libya	[libya, libye]
liberal	[liberal, libéral, libérale, libérale]
liberalism	[liberalism, libéralisme]
liberation	[liberation, libération]
liberals	[liberals, libéraux]
liberate	[liberate, libérer]
frees	[frees, libéré]
freed	[freed, libéré, libérés, libérés]
license	[license, licence]
licence	[licence, licence]
identification	[identification, lidentification]
the identification	[the identification, lidentification]
caller id	[caller id, lidentité]
ultimately	[ultimately, lidéal]
the ideal	[the ideal, lidéal]
the idea	[the idea, lidée, liées, liées]
the ideology	[the ideology, lidéologie]
dregs	[dregs, lie]
links	[links, lie, liens, liens, relie, relie]
bonds	[bonds, lie]
link	[link, lien, relier, relier]
lieutenant	[lieutenant, lieutenant]
liga	[liga, liga]
light	[light, light, lumière, lumière, léger, léger, légère, légère, voyant, voyant]
line	[line, ligne, line, line]
lines	[lines, lignes]
iliad	[iliad, liliade]
the iliad	[the iliad, liliade]
lille	[lille, lille]
illinois	[illinois, lillinois]
the illusion	[the illusion, lillusion]
illusion	[illusion, lillusion]
filing	[filing, limage]
imagination	[imagination, limagination]
the imagination	[the imagination, limagination]
restricting	[restricting, limitant]
limiting	[limiting, limitant]
limitation	[limitation, limitation]
limit	[limit, limite, limiter, limiter, limité, limité]
limits (for first 2) limitations (for the administrative)	[limits (for first 2) limitations (for the administrative), limites]
limits	[limits, limites]
neighboring	[neighboring, limitrophes, voisin, voisin, voisines, voisines]
the large	[the large, limmense]
the immigration	[the immigration, limmigration]
limmigration	[limmigration, limmigration]
the impact	[the impact, limpact]
implantation	[implantation, limplantation]
establishment	[establishment, limplantation, létablissement, létablissement, établissement, établissement]
significance	[significance, limportance]
the importance	[the importance, limportance]
faber	[faber, limpression]
limpression	[limpression, limpression]
the printing house	[the printing house, limprimerie]
printing	[printing, limprimerie]
the impulse	[the impulse, limpulsion]
impulse	[impulse, limpulsion]
limpératrice	[limpératrice, limpératrice]
the empress	[the empress, limpératrice]
the tax	[the tax, limpôt]
the  fire	[the  fire, lincendie]
the incident	[the incident, lincident]
lincoln	[lincoln, lincoln]
the unconscious	[the unconscious, linconscient]
linda	[linda, linda]
the index	[the index, lindice]
indicates	[indicates, lindique]
lindique	[lindique, lindique]
the person	[the person, lindividu]
lindividu	[lindividu, lindividu]
industrialization	[industrialization, lindustrialisation]
industrialization  (in english without the "the")	[industrialization  (in english without the "the"), lindustrialisation]
independence and ultimately	[independence and ultimately, lindépendance]
the independance	[the independance, lindépendance]
the infection	[the infection, linfection]
the inflation	[the inflation, linflation]
the influence	[the influence, linfluence]
news	[news, linformation]
the information	[the information, linformation]
computer science	[computer science, linformatique]
linguistic	[linguistic, linguistique, linguistiques, linguistiques]
linguistics	[linguistics, linguistiques]
the initiative	[the initiative, linitiative]
the injection	[the injection, linjection]
the enrolment	[the enrolment, linscription]
the registration	[the registration, linscription]
rise to power	[rise to power, linstallation]
complete product setup process	[complete product setup process, linstallation]
instant	[instant, linstant]
linstant	[linstant, linstant]
linstar	[linstar, linstar]
like a	[like a, linstar]
linstauration	[linstauration, linstauration]
the institute	[the institute, linstitut]
the instrument	[the instrument, linstrument]
the insurrection	[the insurrection, linsurrection]
the uprising	[the uprising, linsurrection]
insurgency	[insurgency, linsurrection]
the intelligence	[the intelligence, lintelligence]
then intensity	[then intensity, lintensité]
the intensity	[the intensity, lintensité]
the intention	[the intention, lintention]
lintention	[lintention, lintention]
interaction	[interaction, linteraction]
the ban	[the ban, linterdiction]
interdiction	[interdiction, linterdiction]
the interface	[the interface, linterface]
the intermediary	[the intermediary, lintermédiaire]
the international	[the international, linternational]
the internet	[the internet, linternet]
the intervention	[the intervention, lintervention]
the plot	[the plot, lintrigue]
fuel-efficient	[fuel-efficient, lintroduction]
lintroduction	[lintroduction, lintroduction]
the introduction	[the introduction, lintroduction]
the whole	[the whole, lintégralité]
the integrality	[the integrality, lintégralité]
the integrity	[the integrity, lintégralité]
the consolidation	[the consolidation, lintégration]
the integration	[the integration, lintégration]
in-land	[in-land, lintérieur]
the interest	[the interest, lintérêt]
linux	[linux, linux]
the invasion	[the invasion, linvasion]
the invention	[the invention, linvention]
linverse	[linverse, linverse]
